"Player","Pos","Team","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","TTL","AVG"
"Dante Pettis","WR","SF","1","0","5","bye","3","6","2","3","1","3","0","0","-","-","-","-","-","24","2.2"
"Josh Hill","TE","NO","1","0","2","4","4","2","3","5","bye","0","2","1","2","3","1","0","5","35","2.2"
"Vyncint Smith","WR","NYJ","0","-","-","bye","0","1","1","4","3","1","1","1","3","3","5","4","4","31","2.2"
"Chris Hogan","WR","CAR","1","1","2","1","-","-","bye","-","-","-","-","-","-","-","3","3","4","15","2.1"
"Tevin Coleman","RB","SF","3","-","-","bye","0","3","2","2","4","4","4","4","1","0","1","0","2","30","2.1"
"Josh Jacobs","RB","OAK","1","0","2","2","3","-","3","2","2","5","3","1","0","-","3","-","-","27","2.1"
"Ito Smith","RB","ATL","1","3","0","4","6","0","0","-","bye","-","-","-","-","-","-","-","-","14","2.0"
"Kalen Ballage","RB","MIA","1","5","3","1","bye","0","0","1","1","4","6","1","1","-","-","-","-","24","2.0"
"Dion Lewis","RB","TEN","4","1","1","5","4","3","1","1","5","0","bye","2","1","1","1","2","0","32","2.0"
"Kyle Juszczyk","RB","SF","0","2","3","bye","3","-","-","-","-","1","7","0","0","3","2","2","1","24","2.0"
"Deontay Burnett","WR","PHI","0","-","-","-","-","-","-","-","-","bye","-","-","-","-","-","-","4","4","2.0"
"Patrick Laird","RB","MIA","-","0","0","0","bye","0","0","0","0","2","6","1","5","5","5","1","5","30","2.0"
"Tevin Jones","WR","PIT","-","-","-","-","-","-","bye","-","-","-","4","3","1","0","2","-","-","10","2.0"
"Ross Travis","TE","IND","-","-","-","-","-","bye","-","-","-","-","-","-","3","1","-","2","-","6","2.0"
